path,category,origin,added,removed,changed,net,binary
".env.example","tooling-config","upstream","3","0","3","3","false"
".gitattributes","tooling-config","upstream","6","1","7","5","false"
".github/workflows/backend.yaml","tooling-config","upstream","11","0","11","11","false"
".github/workflows/frontend.yaml","tooling-config","upstream","22","1","23","21","false"
".github/workflows/release.yml","tooling-config","upstream","24","3","27","21","false"
".gitignore","tooling-config","upstream","11","0","11","11","false"
"Dockerfile","tooling-config","upstream","5","0","5","5","false"
"LICENSE_NOTICE","docs","upstream","13","0","13","13","false"
"backend/open_webui/config.py","production","upstream","4","2","6","2","false"
"backend/open_webui/env.py","production","upstream","6","0","6","6","false"
"backend/open_webui/main.py","production","upstream","6","1","7","5","false"
"backend/open_webui/models/chats.py","production","upstream","115","0","115","115","false"
"backend/open_webui/models/notes.py","production","upstream","53","18","71","35","false"
"backend/open_webui/routers/chat_artifacts.py","production","new","614","0","614","614","false"
"backend/open_webui/routers/chats.py","production","upstream","6","0","6","6","false"
"backend/open_webui/routers/files.py","production","upstream","6","0","6","6","false"
"backend/open_webui/routers/notes.py","production","upstream","13","1","14","12","false"
"backend/open_webui/socket/main.py","production","upstream","21","1","22","20","false"
"backend/open_webui/tools/builtin.py","production","upstream","968","0","968","968","false"
"backend/open_webui/utils/artifact_context.py","production","new","41","0","41","41","false"
"backend/open_webui/utils/canvas.py","production","new","526","0","526","526","false"
"backend/open_webui/utils/context_compaction.py","production","upstream","19","2","21","17","false"
"backend/open_webui/utils/middleware.py","production","upstream","169","8","177","161","false"
"backend/open_webui/utils/misc.py","production","upstream","14","0","14","14","false"
"backend/open_webui/utils/tool_approval.py","production","upstream","121","74","195","47","false"
"backend/open_webui/utils/tools.py","production","upstream","89","11","100","78","false"
"backend/open_webui/utils/web_preview.py","production","new","415","0","415","415","false"
"backend/open_webui/utils/workspace_context.py","production","new","540","0","540","540","false"
"backend/open_webui/utils/workspace_outputs.py","production","new","108","0","108","108","false"
"backend/tests/conftest.py","tests","new","22","0","22","22","false"
"backend/tests/test_app_config.py","tests","new","15","0","15","15","false"
"backend/tests/test_approval_continuation.py","tests","new","328","0","328","328","false"
"backend/tests/test_artifact_changes.py","tests","new","76","0","76","76","false"
"backend/tests/test_artifact_mutations.py","tests","new","128","0","128","128","false"
"backend/tests/test_builtin_permissions_matrix.py","tests","new","336","0","336","336","false"
"backend/tests/test_canvas_context.py","tests","new","779","0","779","779","false"
"backend/tests/test_tool_approval_atomic.py","tests","new","252","0","252","252","false"
"backend/tests/test_web_preview.py","tests","new","632","0","632","632","false"
"backend/tests/test_workspace_context_budget.py","tests","new","409","0","409","409","false"
"backend/tests/test_workspace_file_context.py","tests","new","80","0","80","80","false"
"backend/tests/test_workspace_history.py","tests","new","160","0","160","160","false"
"backend/tests/test_workspace_outputs.py","tests","new","119","0","119","119","false"
"backend/tests/test_workspace_persistence.py","tests","new","647","0","647","647","false"
"docker-compose.yaml","tooling-config","upstream","1","0","1","1","false"
"docs/superpowers/specs/2026-08-16-koby-document-viewer-production-readiness.md","docs","new","165","0","165","165","false"
"docs/superpowers/specs/2026-08-16-koby-document-viewer-support.md","docs","new","81","0","81","81","false"
"docs/superpowers/specs/2026-08-18-koby-unified-workspace-specification.md","docs","new","1018","0","1018","1018","false"
"docs/superpowers/specs/2026-09-01-koby-artifact-workspace-acceptance-criteria.md","docs","new","650","0","650","650","false"
"docs/workspace-qa-2026-09-23.md","docs","new","92","0","92","92","false"
"package-lock.json","lockfile","upstream","88","0","88","88","false"
"package.json","tooling-config","upstream","11","1","12","10","false"
"playwright.config.ts","tests","new","24","0","24","24","false"
"playwright.workspace.config.ts","tests","new","16","0","16","16","false"
"scripts/check-viewer-bundle.mjs","tooling-config","new","104","0","104","104","false"
"scripts/check-viewer-bundle.test.mjs","tests","new","63","0","63","63","false"
"scripts/check-viewer-dependencies.mjs","tooling-config","new","65","0","65","65","false"
"scripts/check-viewer-dependencies.test.mjs","tests","new","37","0","37","37","false"
"scripts/generate-viewer-large-profiles.py","tooling-config","new","331","0","331","331","false"
"scripts/prepare-pyodide.js","tooling-config","upstream","15","14","29","1","false"
"scripts/run-viewer-tests.test.mjs","tests","new","28","0","28","28","false"
"scripts/test-workspace-permissions.mjs","tooling-config","new","86","0","86","86","false"
"scripts/validate-release-workflow.test.mjs","tests","new","21","0","21","21","false"
"src/lib/apis/artifacts/index.ts","production","new","96","0","96","96","false"
"src/lib/apis/chats/index.test.ts","tests","new","75","0","75","75","false"
"src/lib/apis/chats/index.ts","production","upstream","10","1","11","9","false"
"src/lib/components/admin/Settings/Integrations.svelte","production","upstream","2","6","8","-4","false"
"src/lib/components/admin/Settings/Models/ModelDefaultsPanel.svelte","production","upstream","1","1","2","0","false"
"src/lib/components/chat/Artifacts.svelte","production","upstream","4","275","279","-271","false"
"src/lib/components/chat/Artifacts/ArtifactComparison.svelte","production","new","31","0","31","31","false"
"src/lib/components/chat/Artifacts/ArtifactConflict.svelte","production","new","43","0","43","43","false"
"src/lib/components/chat/Artifacts/CanvasDocumentChanges.svelte","production","new","209","0","209","209","false"
"src/lib/components/chat/Artifacts/CanvasEditor.svelte","production","new","524","0","524","524","false"
"src/lib/components/chat/Artifacts/CanvasSelectionEditor.svelte","production","new","122","0","122","122","false"
"src/lib/components/chat/Artifacts/DocumentViewer/DocumentFileViewer.svelte","production","new","519","0","519","519","false"
"src/lib/components/chat/Artifacts/DocumentViewer/pyodideFileRead.test.ts","tests","new","152","0","152","152","false"
"src/lib/components/chat/Artifacts/DocumentViewer/pyodideFileRead.ts","production","new","40","0","40","40","false"
"src/lib/components/chat/Artifacts/DocumentViewer/security.test.ts","tests","new","154","0","154","154","false"
"src/lib/components/chat/Artifacts/NoteCanvas.svelte","production","new","341","0","341","341","false"
"src/lib/components/chat/Artifacts/WebPreviewRenderer.svelte","production","new","721","0","721","721","false"
"src/lib/components/chat/Artifacts/WorkspaceDocumentPanels.svelte","production","new","28","0","28","28","false"
"src/lib/components/chat/Artifacts/WorkspaceHost.svelte","production","new","638","0","638","638","false"
"src/lib/components/chat/Artifacts/WorkspaceTabs.svelte","production","new","268","0","268","268","false"
"src/lib/components/chat/Artifacts/artifactChanges.test.ts","tests","new","34","0","34","34","false"
"src/lib/components/chat/Artifacts/artifactEditing.test.ts","tests","new","97","0","97","97","false"
"src/lib/components/chat/Artifacts/artifactEditing.ts","production","new","63","0","63","63","false"
"src/lib/components/chat/Artifacts/canvas.test.ts","tests","new","493","0","493","493","false"
"src/lib/components/chat/Artifacts/canvas.ts","production","new","239","0","239","239","false"
"src/lib/components/chat/Artifacts/canvasChangeDecorations.test.ts","tests","new","44","0","44","44","false"
"src/lib/components/chat/Artifacts/canvasChangeDecorations.ts","production","new","84","0","84","84","false"
"src/lib/components/chat/Artifacts/canvasSelectionRequest.test.ts","tests","new","82","0","82","82","false"
"src/lib/components/chat/Artifacts/canvasSelectionRequest.ts","production","new","54","0","54","54","false"
"src/lib/components/chat/Artifacts/canvasSelectionSource.test.ts","tests","new","40","0","40","40","false"
"src/lib/components/chat/Artifacts/canvasSelectionSource.ts","production","new","103","0","103","103","false"
"src/lib/components/chat/Artifacts/chatArtifacts.test.ts","tests","new","166","0","166","166","false"
"src/lib/components/chat/Artifacts/chatArtifacts.ts","production","new","273","0","273","273","false"
"src/lib/components/chat/Artifacts/previewDiagnostics.ts","production","new","37","0","37","37","false"
"src/lib/components/chat/Artifacts/serializedSaveQueue.test.ts","tests","new","180","0","180","180","false"
"src/lib/components/chat/Artifacts/serializedSaveQueue.ts","production","new","126","0","126","126","false"
"src/lib/components/chat/Artifacts/webPreview.test.ts","tests","new","442","0","442","442","false"
"src/lib/components/chat/Artifacts/webPreview.ts","production","new","339","0","339","339","false"
"src/lib/components/chat/Artifacts/webPreviewSandbox.test.ts","tests","new","35","0","35","35","false"
"src/lib/components/chat/Artifacts/webPreviewSandbox.ts","production","new","22","0","22","22","false"
"src/lib/components/chat/Artifacts/workspace.test.ts","tests","new","245","0","245","245","false"
"src/lib/components/chat/Artifacts/workspace.ts","production","new","292","0","292","292","false"
"src/lib/components/chat/Artifacts/workspaceDisplay.test.ts","tests","new","115","0","115","115","false"
"src/lib/components/chat/Artifacts/workspaceDisplay.ts","production","new","63","0","63","63","false"
"src/lib/components/chat/Artifacts/workspaceHydration.test.ts","tests","new","154","0","154","154","false"
"src/lib/components/chat/Artifacts/workspaceOutput.ts","production","new","181","0","181","181","false"
